state,values,id
Alabama,22132.1,1
Alaska,2094.15,0
Arizona,19654.49,1
Arkansas,7828.87,0
California,410182.75,3
Colorado,12225.47,1
Connecticut,21319.13,1
Delaware,7556.38,0
District of Columbia,486.78,0
Florida,73625.97,3
Georgia,86185.41,3
Hawaii,2930.99,0
Idaho,4493.92,0
Illinois,121529.42,3
Indiana,49536.71,2
Iowa,8233.91,0
Kansas,11157.31,1
Kentucky,40001.59,2
Louisiana,32423.7,2
Massachusetts,33801.45,2
Maryland,30687.94,2
Maine,3353.81,0
Michigan,134946.98,3
Minnesota,27023.84,2
Missouri,17205.94,1
Mississippi,13970.94,1
Montana,3489.59,0
North Carolina,47041.18,2
North Dakota,2563.75,0
Nebraska,3556.5,0
New Hampshire,8611.27,0
New Jersey,108133.13,3
New Mexico,2290.27,0
Nevada,10559.95,1
New York,130072.2,3
Ohio,64263.91,3
Oklahoma,8487.35,0
Oregon,17596.28,1
Pennsylvania,77163.82,3
Puerto Rico,21196.71,1
Rhode Island,8748.39,0
South Carolina,36107.34,2
South Dakota,1031.07,0
Tennessee,75285.04,3
Texas,229294.26,3
Utah,12989.24,1
Virginia,25872.7,2
Virgin Islands,591.38,0
Vermont,3704.33,0
Washington,46997.33,2
Wisconsin,22429.04,2
West Virginia,3331.45,0
Wyoming,876.56,0
Unidentified,20930.89,1
